,name
0,Breitenstein
1,Ortsgruppe Altenerding
2,Ortsgruppe Berglern
3,Ortsgruppe Dorfen
4,Ortsgruppe Eitting
5,Ortsgruppe Erding
6,Ortsgruppe Finsing
7,Ortsgruppe Forstern
8,Ortsgruppe Grünbach
9,Ortsgruppe Frauenberg
10,Ortsgruppe Grüntegernbach
11,Ortsgruppe Hohenpolding
12,Ortsgruppe Hofkirchen
13,Ortsgruppe Langengeisling
14,Ortsgruppe Langenpreising
15,Ortsgruppe Lengdorf
16,Ortsgruppe Moosen
17,Ortsgruppe Moosinning
18,Ortsgruppe Notzing
19,Ortsgruppe Oberding
20,Ortsgruppe Reichenkirchen
21,Ortsgruppe Ottenhofen
22,Ortsgruppe Steinkirchen
23,Ortsgruppe Taufkirchen
24,Ortsgruppe Walpertskirchen
25,Ortsgruppe Wartenberg
26,Zelle Pastetten
27,Ortsgruppe Fraunberg
28,Gemeinde Niederneuching
29,Ortsgruppe Wörth
30,Gemeinde Gebensbach
